ID,Name,Category,Subcategory,Difficulty,Price,SalePrice,ShortDescription
cmm7qletd000004l2iestvbf4,AD SPEEDBAR,VALJAAT,Kevyt valjaat,,35,,Le Slip valjaiden kevyt speedy
cmm7qh3p7000004jj3dks85xz,AD LE SLIP 2 AIRBAG,VALJAAT,Kevyt valjaat,,165,,Le Slip 2 pehmuste 
cmm7qba5q000004l4e65tswql,AD QUICKBAG,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Ruusupussit,,115,,Perinteinen ruusupussi Ad:ltä
cmm7q3gy9000004l1bx5l1h7t,AD FASTBAG,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Ruusupussit,,140,,Nopea pakkausreppu Ad:ltä
cmm7pv3w5000004laj4x1ihsk,AD STUFFBAG,VARJOLIITIMIEN PAKKAUSTARVIKKEET,Ruusupussit,,90,,Ruusupussi Adltä
cmm7o14az000104jgbywwdt91,AD THE SOCK SUPERLIGHT,VALJAAT,Kanoottivaljaat,,1450,,Superlight kanootit ADltä
cmm7nlf7j000004jgd6ypvte0,AD LE SLIP 2,VALJAAT,Kevyt valjaat,,325,,Kalsarit 198g kevyt valjaat
cmm7hwoe3000004l4knlpnl3s,SKY FLUX,VARJOLIITIMET,Paramoottori Varjoliitimet,,2995,,SKY semihelppo mottisiipi 
cmm7fw09a000104l52q0o1kio,PHI SCALA LIGHT,VARJOLIITIMET,Kevyet Varjoliitimet,,5795,,Kisakone PHIltä
cmm7fkahm000004jyq3jcx62y,SKY SYSTEM 3,PELASTUSVARJOT,Pallo pelastusvarjot,,745,,SKY valmistama perinteinen pelastusvarjo
cmm7f53wb000004l5p5nv67iy,SKY QUATRO 160g,PELASTUSVARJOT,Neliskulmaiset pelastusvarjot,,1095,,Mottimiehen pelari
cmm7erwcx000104l5u33c5bvw,SKY QUATRO LIGHT,PELASTUSVARJOT,Neliskulmaiset pelastusvarjot,,950,,Kevyt versio suositusta QUATRO pelastusvarjosta
cmm7eh4ia000004l5i6idd843,SKY QUATRO,PELASTUSVARJOT,Neliskulmaiset pelastusvarjot,,865,,Luotettava kumppani SKY tehtaalta
cmm7dl1et000004l8kerp6m9j,SKY APOLLO 3 LIGHT,VARJOLIITIMET,Kevyet Varjoliitimet,,5495,,B-luokan kevyt versio ennätys pelistä
cmm7cs7gp000004l2kif0r06p,SKY APOLLO 3,VARJOLIITIMET,EN-B Varjoliitimet,,4995,,Maailman ennätys liidin 498km B-luokassa
cmm4zz854000004l7f6i3ugij,FLY PRODUCTS RIDER MOSTER 185cc MY25,PARAMOOTTORIT JA TARVIKKEET,Paramoottorit,,7795,,Pilvien ratsastaja
cmm4zqg7b000004jv33tfule9,FLY PRODUCTS ELIPSE MOSTER 185cc MY25,PARAMOOTTORIT JA TARVIKKEET,Paramoottorit,,7995,,Taivaan oranssi kaunokainen
cmm4yie5g000104l4jtoaipbc,CHARLY NO LIMIT,KYPÄRÄT,XC-kypärät,,335,,Markkinoiden paras XC-kypärä
cmm4xtqn9000104jpwepreu9n,NAVITER OMNI,MITTARIT,,,795,,Oudien pikkuveli
cmm4xk2jo000004jputn6zg7p,SK1,MUUT TUOTTEET,,,65,,Markkinoiden paras hinauskytkin
cmm4xarws000004l8et2ghu94,AIR3 7.3,MITTARIT,,,760,,Ilman flarmia oleva malli
cmm4wzjd8000004jobu9ljrmo,AIR3 7.3+,MITTARIT,,,999,,Suosittu vario kokonaisuus flarmilla
cmm4whh79000004jxmti84old,LIBERTY MOSTER 185cc MY 25 TITANIUM TOTAL,PARAMOOTTORIT JA TARVIKKEET,Paramoottorit,,8150,,Titaanista osaamista Espaniasta
cmm4vzw45000004l4kcbrmutx,AC R200CC REVOLUTION,PARAMOOTTORIT JA TARVIKKEET,Paramoottorit,,8350,,Sähkö sekä käsikäynnistys sekä vapaakytkin
cmm4vpley000004ic4pujesxe,AC R200cc EXTREME ,PARAMOOTTORIT JA TARVIKKEET,Paramoottorit,,8350,,195kg paramoottorikokonaisuus 
cmm4vc06o000004jlig1cd46d,PARAJET MOSTER 185cc MY 25 CADET II ,PARAMOOTTORIT JA TARVIKKEET,Paramoottorit,,8195,,Parajetin uutuus motti
cmm4uwois000004js70bglcd8,MACFLY MOSTER 185cc MY25 TRAVELCASE,PARAMOOTTORIT JA TARVIKKEET,Paramoottorit,,8195,,Upea kokonaisuus mottimiehelle
cmm4o6skj000204lbqemutku6,ENCO 2 photochromics,MITTARIT,,,350,,Itsestään tummuvat ENCO 2 malli
cmm4o3xyk000004kwdk9nzdri,ENCO 2,MITTARIT,,,300,,Unelma kävi toteen
cmm4ntbx6000104lbl30wth9w,SYRIDE EVO 2V,MITTARIT,,,699,,Erikoismiehelle erikois mittari
cmm4ng5ro000004l8extursoc,SYRIDE NAV XL,MITTARIT,,,499,,Nimikin se sanoo maksimi toiminnat
cmm4n4d7x000004lblnx98mgy,SYRIDE NAV,MITTARIT,,,399,,NAVissa on jo ilmatilat
cmm4lxjw2000004joi7csvwpf,XCTRACER MINI V,MITTARIT,,,575,,Legendaarinen XCtracer Mini V
cmm4li5un000004l47mxw26mb,XCTRACER MAXX III,MITTARIT,,,895,,HIKE & FLY mittari
cmm4l7c69000104jozacqewnb,NAVITER OUDIE N,MITTARIT,,,935,,Ilman Flarmia oleva malli 
cmm4kziyk000004jotnqrc2px,NAVITER OUDIE N FANET +,MITTARIT,,,1135,,Yksi markkinoiden suosituimmista mittareista
cmm3evdih000004jszkcf8gex,FLOW ALBATROXX,VARJOLIITIMET,Parakite Varjoliitimet,,3450,,Isomalla sivusuhteella varustettu parakite
cmm3ef29f000004l1l878wclo,FLOW MULLETX,VARJOLIITIMET,Parakite Varjoliitimet,,3450,,Liukkaampi MULLET
cmm3dlve5000004l88c4cd9pz,U-TURN RAZORBLADE,VARJOLIITIMET,Parakite Varjoliitimet,,3450,,Rullaa kuin laakereilla
cmm3d8wix000004i8so0jtg1s,LEVEL FUZE,VARJOLIITIMET,Parakite Varjoliitimet,,3450,,Parakite jossa on koko matkan jarrutuntuma
cmm3cuhh2000004jvvp449p2s,LEVEL FUSION V3,VALJAAT,Parakite valjaat,,835,,Parakite lentämisen supervaljaat
cmm3c6veb000004juw8x9uvu3,SUPAIR ACRO 4,VALJAAT,Acrovaljaat,,1220,,Markkinoiden parhaat acrovaljaat
cmm3bo6wp000004l2o3zrfemy,SUPAIR SAVAGE 2,VARJOLIITIMET,EN-C Varjoliitimet,,5250,,Ziad kehui SAVAGE 2sen upeaksi
cmm3az2nx000004jsvn5ueanr,BGD BLIZZARD,VARJOLIITIMET,Paramoottori Varjoliitimet,,3990,,Aloittelevan movapilotin valinta
cmm3a7brj000004js7c9gyyac,BGD CYCLONE,VARJOLIITIMET,Paramoottori Varjoliitimet,,4690,,Ison triken paras ystävä BGDltä
cmm39qrkb000104kvm1pc1oak,BGD ICON,VARJOLIITIMET,Paramoottori Varjoliitimet,,4300,,Ohjaus-tykki pilvien reunalla
cmm39dmfo000004kvnfjt3x4q,BGD TYPHOON,VARJOLIITIMET,Paramoottori Varjoliitimet,,4090,,Aloittavan mottipilot paras kamu TYPHOON
cmm37o13h000004le6bql3vjh,ITV AWAK 3 TANDEM,VARJOLIITIMET,Paramoottori Varjoliitimet,,4890,,Kaveri kyytiin ja movan kanssa lentämään
cmm37d5nc000004jxjgktd49v,ITV BAJA,VARJOLIITIMET,Paramoottori Varjoliitimet,,3650,,Mottikoulutus siipien aatelia
cmm36x1aw000004i9928n4ue5,ITV AWAK 3,VARJOLIITIMET,Paramoottori Varjoliitimet,,3840,,Taivaiden motocross - siipi
cmm36idh7000004jrtklkcao1,ITV PIPER 2,VARJOLIITIMET,Paramoottori Varjoliitimet,,4450,,Uusi mottisiipien kuningas on syntynyt
cmm360ys5000104ky8e3805hj,NEO SUSPENDER 2.0,VALJAAT,Kanoottivaljaat,,2580,,Made in France SUSPENDER 2.0 korkean luokituksen kanootit
cmm35ta7x000004kyo4toawzb,NEO RACE,VALJAAT,Kanoottivaljaat,,2395,,Made in France Ultra light race harness
cmm35cocp000004lei3jivhq9,BGD OOPS,PELASTUSVARJOT,Pallo pelastusvarjot,,795,,Jos sattuu vahinko OOPS pelastaa
cmm34yoyc000004l7v0zqnwi4,BGD LINK PILOT ja PASSANGER,VALJAAT,Tandemvaljaat,,1595,,Ammatilaisen valinta BGD tandem
cmm33x6jq000004jxrg6wg8gi,BGD WARP,VALJAAT,Kääntövaljaat,,1040,,Raikas tuulahdus Brucen pöydältä
cmm33i3j3000004l8e3b84oxj,BGD SNUG,VALJAAT,Avovaljaat,,820,,Legendaariseksi muovautunut BGD avovaljas
cmm331kqi000004l2pktpdsq1,BGD DIVA 2,VARJOLIITIMET,EN-D Varjoliitimet,,5290,,2 linjanen kisakone Brucen kynästä
cmm1z1dac000004joqmqna7ej,BGD CURE 3,VARJOLIITIMET,EN-C Varjoliitimet,,5090,,Kauan odotettu uutuus BGDltä 2 linjainen C
cmm1yioge000004jla8flqc6c,BGD BREEZE,VARJOLIITIMET,EN-B Varjoliitimet,,4690,,BASE 3 kevyt versio
cmm1y2uf7000004joz7ghmnxp,BGD BASE 3,VARJOLIITIMET,EN-B Varjoliitimet,,4590,,99% eri peli kuin BASE 2
cmm1x2k7t000004jsdtfhn26t,ADVANCE IMPRESS 4,VALJAAT,Kanoottivaljaat,,2890,,Kilpavalajasta by ADVANCE 
cmm1wp1hi000004jlya9vs77c,ADVANCE WEIGHTLESS,VALJAAT,Kanoottivaljaat,,2090,,Nimikin sen sanoo on kevyttä kanoottia. Suoraa X-Alpseista.
cmm1w3kat000204i3aux94tfw,ADVANCE LIGHTNESS 4,VALJAAT,Kanoottivaljaat,,2290,,Seuraavan tason kanoottivaljaat
cmm1vpi7b000004lenj6hjap6,ADVANCE EASINESS 4,VALJAAT,Kääntövaljaat,,1090,,Hike & Fly kääntövaljaat vaativalle
cmm1v6pel000104i3v846jfhn,ADVANCE BOUDLESS,VALJAAT,Kääntövaljaat,,1240,,Kääntövaljaat istuinlevyllä
cmm1ugcdv000004i3vugmiz0s,ADVANCE PROGRESS 3,VALJAAT,Kääntövaljaat,,1140,,Kääntövaljaiden aatelia jaetuilla jaloilla
cmm1tn49d000004kw3wxtidcz,ADVANCE SUCCESS 5,VALJAAT,Avovaljaat,,1330,,Turvallisuus ja mukavuus tulevat ensin
cmm1t6qjc000004la4hzxc6is,ADVANCE AXESS 5,VALJAAT,Avovaljaat,,990,,Suojaa alusta asti joka tasolle
cmm1som5q000104jucxaz3t6v,ADVANCE SIGMA DLS,VARJOLIITIMET,EN-C Varjoliitimet,,5840,,XC SPORT VARJOLIIDIN
cmm1s34uk000004jjs0x360di,ADVANCE TAU DLS,VARJOLIITIMET,EN-C Varjoliitimet,,6390,,SPORT-CLASS RACER
cmm1rix3a000004junrx8uypn,ADVANCE OMEGA ULS,VARJOLIITIMET,EN-D Varjoliitimet,,5990,,OMEGA ULS Ultralight Racing Paraglider
cmm1qwr5z000004l1a8fq8x4r,ADVANCE THETA ULS,VARJOLIITIMET,EN-B Varjoliitimet,,5190,,THETA ULS ULTRA-LIGHT 
cmm1nalju000004juh03rjify,PHI SCALA 2,VARJOLIITIMET,EN-C Varjoliitimet,,5590,,PHI oma 2 -linjainen C-luokan kilpuri.
cmm1l2oh6000004js1fbcjg6m,PHI SYMPHONIA 2 LIGHT,VARJOLIITIMET,EN-A Varjoliitimet,,5020,,SYMPHONIA 2 LIGHT on upea XC liidin EN/A luokassa.
cmm1kegfe000004ldr07cv51h,PHI SYMPHONIA 2,VARJOLIITIMET,EN-A Varjoliitimet,,4690,,Hannes loi markkinoille ensimmäisen korkean A-liitimen.  
cmm0u7bt0000004js1xwsr1mz,PHI BEAT 2 LIGHT,VARJOLIITIMET,Kevyet Varjoliitimet,,5190,,BEAT 2 LIGHT on XC-liitäjän toiveuni.
cmm0tg0jx000004js406uib0w,PHI BEAT 2,VARJOLIITIMET,EN-B Varjoliitimet,,4090,,BEAT 2 XCsiipi B-luokassa
